id,title,abstract
1,Rekomendasi Produk E‑Commerce Menggunakan Metode K‑Means pada dataset media sosial,Penelitian ini bertujuan untuk melakukan rekomendasi produk e‑commerce dengan memanfaatkan metode K‑Means. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode K‑Means diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
2,Klasifikasi Gambar Medis Menggunakan Metode LightGBM pada dataset media sosial,Penelitian ini bertujuan untuk melakukan klasifikasi gambar medis dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
3,Analisis Pola Transportasi Kota Menggunakan Metode Logistic Regression pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan analisis pola transportasi kota dengan memanfaatkan metode Logistic Regression. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode Logistic Regression diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
4,Prediksi Risiko Kredit Menggunakan Metode K‑Nearest Neighbor pada sistem e‑commerce,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode K‑Nearest Neighbor. Dataset yang digunakan berasal dari berbagai sumber pada sistem e‑commerce. Metode K‑Nearest Neighbor diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
5,Rekomendasi Produk E‑Commerce Menggunakan Metode K‑Nearest Neighbor pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan rekomendasi produk e‑commerce dengan memanfaatkan metode K‑Nearest Neighbor. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode K‑Nearest Neighbor diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
6,Analisis Kinerja Akademik Mahasiswa Menggunakan Metode Gradient Boosting pada data citra medis,Penelitian ini bertujuan untuk melakukan analisis kinerja akademik mahasiswa dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada data citra medis. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
7,Analisis Topik Dokumen Berita Menggunakan Metode Logistic Regression pada data akademik universitas,Penelitian ini bertujuan untuk melakukan analisis topik dokumen berita dengan memanfaatkan metode Logistic Regression. Dataset yang digunakan berasal dari berbagai sumber pada data akademik universitas. Metode Logistic Regression diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
8,Analisis Sentimen Ulasan Aplikasi Menggunakan Metode Decision Tree pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan analisis sentimen ulasan aplikasi dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
9,Prediksi Risiko Kredit Menggunakan Metode Decision Tree pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
10,Pengenalan Wajah Menggunakan Metode Naive Bayes pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan pengenalan wajah dengan memanfaatkan metode Naive Bayes. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Naive Bayes diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
11,Sistem Deteksi Spam Email Menggunakan Metode Logistic Regression pada dataset media sosial,Penelitian ini bertujuan untuk melakukan sistem deteksi spam email dengan memanfaatkan metode Logistic Regression. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode Logistic Regression diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
12,Pengenalan Wajah Menggunakan Metode Deep Learning pada data berita online,Penelitian ini bertujuan untuk melakukan pengenalan wajah dengan memanfaatkan metode Deep Learning. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode Deep Learning diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
